,Kontengruppe,Profitcenter,Profitcenter-Bezeichnung,Art,HH Art,PSP-Element,Kostenart,Kostenart Beschreibung,Betrag,Betrag_Typ,Jahr
1146,sonstige ordentliche Erträge,1003,Denkmalschutz und Denkmalpflege,1.0,,,,,0,Plan,2017
1147,Personalaufwendungen,1003,Denkmalschutz und Denkmalpflege,2.0,,,,,"132.218,40",Plan,2017
1148,Versorgungsaufwendungen,1003,Denkmalschutz und Denkmalpflege,2.0,,,,,"10.137,84",Plan,2017
1149,Aufwendungen für Sach- und Dienstleistungen,1003,Denkmalschutz und Denkmalpflege,2.0,,,,,0,Plan,2017
1150,sonstige ordentliche Aufwendungen,1003,Denkmalschutz und Denkmalpflege,2.0,,,,,"10.508,59",Plan,2017
1151,Aufwendungen aus internen Leistungsbeziehungen,sonstige ordentliche Aufwendungen,#NV,5.0,,,,,0,Plan,2017
1152,Zuwendungen und allgemeine Umlagen,1301,#NV,1.0,,,,,"-196.101,13",Plan,2017
1153,öffentlich-rechtliche Leistungsentgelte,1301,#NV,1.0,,,,,"-8.000,00",Plan,2017
1154,Privatrechtliche Leistungsentgelte,1301,#NV,1.0,,,,,"-50.500,00",Plan,2017
1155,sonstige ordentliche Erträge,1301,#NV,1.0,,,,,"-43.751,27",Plan,2017
1156,Aktivierte Eigenleistungen,1301,#NV,1.0,,,,,"-145.200,00",Plan,2017
1157,Erträge aus internen Leistungsbeziehungen,1301,#NV,4.0,,,,,"-179.125,00",Plan,2017
1158,Personalaufwendungen,1301,#NV,2.0,,,,,"555.671,68",Plan,2017
1159,Versorgungsaufwendungen,1301,#NV,2.0,,,,,"39.757,56",Plan,2017
1160,Aufwendungen für Sach- und Dienstleistungen,1301,#NV,2.0,,,,,"3.616.773,00",Plan,2017
1161,Transferaufwendungen,1301,#NV,2.0,,,,,"11.356,00",Plan,2017
1162,sonstige ordentliche Aufwendungen,1301,#NV,2.0,,,,,"70.508,27",Plan,2017
1163,Zinsen und sonstige Finanzaufwendungen,1301,#NV,3.0,,,,,"40.000,00",Plan,2017
1164,Bilanzielle Aufwendungen,1301,#NV,2.0,,,,,"494.451,52",Plan,2017
1165,Aufwendungen aus internen Leistungsbeziehungen,1301,#NV,5.0,,,,,"179.125,00",Plan,2017
1166,Außerordentliche Aufwendungen,1301,#NV,2.0,,,,,0,Plan,2017
1167,Zuwendungen und allgemeine Umlagen,1401,#NV,1.0,,,,,"-55.307,00",Plan,2017
1168,Privatrechtliche Leistungsentgelte,1401,#NV,1.0,,,,,"-7.000,00",Plan,2017
1169,sonstige ordentliche Erträge,1401,#NV,1.0,,,,,0,Plan,2017
1170,Personalaufwendungen,1401,#NV,2.0,,,,,"287.755,32",Plan,2017
1171,Versorgungsaufwendungen,1401,#NV,2.0,,,,,"25.882,28",Plan,2017
1172,Aufwendungen für Sach- und Dienstleistungen,1401,#NV,2.0,,,,,"52.263,00",Plan,2017
1173,sonstige ordentliche Aufwendungen,1401,#NV,2.0,,,,,"3.996,17",Plan,2017
1174,Bilanzielle Aufwendungen,1401,#NV,2.0,,,,,"555,39",Plan,2017
1175,Aufwendungen aus internen Leistungsbeziehungen,1401,#NV,5.0,,,,,0,Plan,2017
1176,Steuern und ähnliche Abgaben,1601,#NV,1.0,,,,,"-133.993.741,00",Plan,2017
1177,Zuwendungen und allgemeine Umlagen,1601,#NV,1.0,,,,,"-62.291.539,00",Plan,2017
1178,sonstige ordentliche Erträge,1601,#NV,1.0,,,,,"-1.116.700,00",Plan,2017
1179,Erträge aus internen Leistungsbeziehungen,1601,#NV,4.0,,,,,"-22.000,00",Plan,2017
1180,Transferaufwendungen,1601,#NV,2.0,,,,,"69.722.400,00",Plan,2017
1181,sonstige ordentliche Aufwendungen,1601,#NV,2.0,,,,,0,Plan,2017
1182,Aufwendungen aus internen Leistungsbeziehungen,1601,#NV,5.0,,,,,0,Plan,2017
1183,Privatrechtliche Leistungsentgelte,1602,#NV,1.0,,,,,"-820.400,00",Plan,2017
1184,sonstige ordentliche Erträge,1602,#NV,1.0,,,,,"-6.139.183,00",Plan,2017
1185,Finanzerträge,1602,#NV,3.0,,,,,"-2.478.909,00",Plan,2017
1186,sonstige ordentliche Aufwendungen,1602,#NV,2.0,,,,,"100.000,00",Plan,2017
1187,Zinsen und sonstige Finanzaufwendungen,1602,#NV,3.0,,,,,"16.150.618,00",Plan,2017
1188,Zuwendungen und allgemeine Umlagen,10101,#NV,1.0,,,,,0,Plan,2017
1189,Privatrechtliche Leistungsentgelte,10101,#NV,1.0,,,,,"-9.200,00",Plan,2017
1190,sonstige ordentliche Erträge,10101,#NV,1.0,,,,,0,Plan,2017
1191,Erträge aus internen Leistungsbeziehungen,10101,#NV,4.0,,,,,0,Plan,2017
1192,Personalaufwendungen,10101,#NV,2.0,,,,,"224.530,04",Plan,2017
1193,Versorgungsaufwendungen,10101,#NV,2.0,,,,,"26.883,72",Plan,2017
1194,Aufwendungen für Sach- und Dienstleistungen,10101,#NV,2.0,,,,,"23.300,00",Plan,2017
1195,sonstige ordentliche Aufwendungen,10101,#NV,2.0,,,,,"918.527,45",Plan,2017
1196,Bilanzielle Aufwendungen,10101,#NV,2.0,,,,,"8.476,18",Plan,2017
1197,Aufwendungen aus internen Leistungsbeziehungen,10101,#NV,5.0,,,,,0,Plan,2017
1198,Zuwendungen und allgemeine Umlagen,10102,#NV,1.0,,,,,"-560,85",Plan,2017
1199,öffentlich-rechtliche Leistungsentgelte,10102,#NV,1.0,,,,,0,Plan,2017
1200,Privatrechtliche Leistungsentgelte,10102,#NV,1.0,,,,,-510,Plan,2017
1201,sonstige ordentliche Erträge,10102,#NV,1.0,,,,,0,Plan,2017
1202,Erträge aus internen Leistungsbeziehungen,10102,#NV,4.0,,,,,"-32.497,00",Plan,2017
1203,Außerordentliche Erträge,10102,#NV,1.0,,,,,0,Plan,2017
1204,Personalaufwendungen,10102,#NV,2.0,,,,,"1.718.480,28",Plan,2017
1205,Versorgungsaufwendungen,10102,#NV,2.0,,,,,"535.827,72",Plan,2017
1206,Aufwendungen für Sach- und Dienstleistungen,10102,#NV,2.0,,,,,"10.470,00",Plan,2017
1207,sonstige ordentliche Aufwendungen,10102,#NV,2.0,,,,,"55.263,53",Plan,2017
1208,Bilanzielle Aufwendungen,10102,#NV,2.0,,,,,"3.859,00",Plan,2017
1209,Außerordentliche Aufwendungen,10102,#NV,2.0,,,,,0,Plan,2017
1210,Zuwendungen und allgemeine Umlagen,10201,#NV,1.0,,,,,"-28.261,17",Plan,2017
1211,öffentlich-rechtliche Leistungsentgelte,10201,#NV,1.0,,,,,"-19.000,00",Plan,2017
1212,Privatrechtliche Leistungsentgelte,10201,#NV,1.0,,,,,"-600.302,00",Plan,2017
1213,sonstige ordentliche Erträge,10201,#NV,1.0,,,,,0,Plan,2017
1214,Erträge aus internen Leistungsbeziehungen,10201,#NV,4.0,,,,,"-25.595,00",Plan,2017
1215,Personalaufwendungen,10201,#NV,2.0,,,,,"2.204.340,32",Plan,2017
1216,Versorgungsaufwendungen,10201,#NV,2.0,,,,,"374.455,76",Plan,2017
1217,Aufwendungen für Sach- und Dienstleistungen,10201,#NV,2.0,,,,,"55.993,00",Plan,2017
1218,sonstige ordentliche Aufwendungen,10201,#NV,2.0,,,,,"166.188,74",Plan,2017
1219,Bilanzielle Aufwendungen,10201,#NV,2.0,,,,,"9.256,04",Plan,2017
1220,Privatrechtliche Leistungsentgelte,10202,#NV,1.0,,,,,0,Plan,2017
1221,sonstige ordentliche Erträge,10202,#NV,1.0,,,,,0,Plan,2017
1222,Personalaufwendungen,10202,#NV,2.0,,,,,"501.986,44",Plan,2017
1223,Versorgungsaufwendungen,10202,#NV,2.0,,,,,"175.597,76",Plan,2017
1224,Aufwendungen für Sach- und Dienstleistungen,10202,#NV,2.0,,,,,"3.000,00",Plan,2017
1225,sonstige ordentliche Aufwendungen,10202,#NV,2.0,,,,,"15.326,82",Plan,2017
1226,Bilanzielle Aufwendungen,10202,#NV,2.0,,,,,"281,59",Plan,2017
1227,Zuwendungen und allgemeine Umlagen,10203,#NV,1.0,,,,,0,Plan,2017
1228,Privatrechtliche Leistungsentgelte,10203,#NV,1.0,,,,,"-340.281,00",Plan,2017
1229,sonstige ordentliche Erträge,10203,#NV,1.0,,,,,0,Plan,2017
1230,Erträge aus internen Leistungsbeziehungen,10203,#NV,4.0,,,,,"-46.050,00",Plan,2017
1231,Personalaufwendungen,10203,#NV,2.0,,,,,"633.169,88",Plan,2017
1232,Versorgungsaufwendungen,10203,#NV,2.0,,,,,"105.201,24",Plan,2017
1233,Aufwendungen für Sach- und Dienstleistungen,10203,#NV,2.0,,,,,"4.400,00",Plan,2017
1234,sonstige ordentliche Aufwendungen,10203,#NV,2.0,,,,,"1.946.916,74",Plan,2017
1235,Bilanzielle Aufwendungen,10203,#NV,2.0,,,,,"65.531,47",Plan,2017
1236,Zuwendungen und allgemeine Umlagen,10301,#NV,1.0,,,,,"-7.458,39",Plan,2017
1237,Privatrechtliche Leistungsentgelte,10301,#NV,1.0,,,,,"-169.100,00",Plan,2017
1238,sonstige ordentliche Erträge,10301,#NV,1.0,,,,,0,Plan,2017
1239,Erträge aus internen Leistungsbeziehungen,10301,#NV,4.0,,,,,"-14.882,00",Plan,2017
1240,Außerordentliche Erträge,10301,#NV,1.0,,,,,0,Plan,2017
1241,Personalaufwendungen,10301,#NV,2.0,,,,,"408.340,08",Plan,2017
1242,Versorgungsaufwendungen,10301,#NV,2.0,,,,,"11.543,00",Plan,2017
1243,Aufwendungen für Sach- und Dienstleistungen,10301,#NV,2.0,,,,,"224.436,00",Plan,2017
1244,sonstige ordentliche Aufwendungen,10301,#NV,2.0,,,,,"235.293,75",Plan,2017
1245,Bilanzielle Aufwendungen,10301,#NV,2.0,,,,,"56.701,43",Plan,2017
1246,Privatrechtliche Leistungsentgelte,10302,#NV,1.0,,,,,"-7.000,00",Plan,2017
1247,sonstige ordentliche Erträge,10302,#NV,1.0,,,,,0,Plan,2017
1248,Erträge aus internen Leistungsbeziehungen,10302,#NV,4.0,,,,,"-2.000,00",Plan,2017
1249,Personalaufwendungen,10302,#NV,2.0,,,,,"139.550,00",Plan,2017
1250,Versorgungsaufwendungen,10302,#NV,2.0,,,,,0,Plan,2017
1251,sonstige ordentliche Aufwendungen,10302,#NV,2.0,,,,,"7.320,00",Plan,2017
1252,Bilanzielle Aufwendungen,10302,#NV,2.0,,,,,"4.721,45",Plan,2017
1253,Privatrechtliche Leistungsentgelte,20101,#NV,1.0,,,,,-600,Plan,2017
1254,Personalaufwendungen,20101,#NV,2.0,,,,,"163.069,00",Plan,2017
1255,Versorgungsaufwendungen,20101,#NV,2.0,,,,,0,Plan,2017
1256,Aufwendungen für Sach- und Dienstleistungen,20101,#NV,2.0,,,,,"5.624,00",Plan,2017
1257,sonstige ordentliche Aufwendungen,20101,#NV,2.0,,,,,"2.074,37",Plan,2017
1258,Privatrechtliche Leistungsentgelte,20102,#NV,1.0,,,,,"-80.000,00",Plan,2017
1259,sonstige ordentliche Erträge,20102,#NV,1.0,,,,,0,Plan,2017
1260,Personalaufwendungen,20102,#NV,2.0,,,,,"27.876,44",Plan,2017
1261,Versorgungsaufwendungen,20102,#NV,2.0,,,,,"4.115,08",Plan,2017
1262,Aufwendungen für Sach- und Dienstleistungen,20102,#NV,2.0,,,,,"116.523,00",Plan,2017
1263,sonstige ordentliche Aufwendungen,20102,#NV,2.0,,,,,"69.638,29",Plan,2017
1264,Bilanzielle Aufwendungen,20102,#NV,2.0,,,,,"208,33",Plan,2017
1265,Aufwendungen aus internen Leistungsbeziehungen,20102,#NV,5.0,,,,,"23.540,00",Plan,2017
1266,öffentlich-rechtliche Leistungsentgelte,20201,#NV,1.0,,,,,"-9.654,00",Plan,2017
1267,Privatrechtliche Leistungsentgelte,20201,#NV,1.0,,,,,"-30.947,00",Plan,2017
1268,sonstige ordentliche Erträge,20201,#NV,1.0,,,,,"-6.418,00",Plan,2017
1269,Personalaufwendungen,20201,#NV,2.0,,,,,"617.669,84",Plan,2017
1270,Versorgungsaufwendungen,20201,#NV,2.0,,,,,"122.993,60",Plan,2017
1271,Aufwendungen für Sach- und Dienstleistungen,20201,#NV,2.0,,,,,"132.497,00",Plan,2017
1272,Transferaufwendungen,20201,#NV,2.0,,,,,"41.100,00",Plan,2017
1273,sonstige ordentliche Aufwendungen,20201,#NV,2.0,,,,,"34.145,76",Plan,2017
1274,Bilanzielle Aufwendungen,20201,#NV,2.0,,,,,"2.138,24",Plan,2017
1275,Aufwendungen aus internen Leistungsbeziehungen,20201,#NV,5.0,,,,,0,Plan,2017
1276,öffentlich-rechtliche Leistungsentgelte,20202,#NV,1.0,,,,,"-122.979,00",Plan,2017
1277,Privatrechtliche Leistungsentgelte,20202,#NV,1.0,,,,,"-1.155,00",Plan,2017
1278,sonstige ordentliche Erträge,20202,#NV,1.0,,,,,"-9.107,00",Plan,2017
1279,Personalaufwendungen,20202,#NV,2.0,,,,,"307.996,56",Plan,2017
1280,Versorgungsaufwendungen,20202,#NV,2.0,,,,,"37.352,08",Plan,2017
1281,Aufwendungen für Sach- und Dienstleistungen,20202,#NV,2.0,,,,,501,Plan,2017
1282,sonstige ordentliche Aufwendungen,20202,#NV,2.0,,,,,"7.821,02",Plan,2017
1283,Bilanzielle Aufwendungen,20202,#NV,2.0,,,,,"646,64",Plan,2017
1284,Aufwendungen aus internen Leistungsbeziehungen,20202,#NV,5.0,,,,,0,Plan,2017
1285,öffentlich-rechtliche Leistungsentgelte,20203,#NV,1.0,,,,,"-4.837,00",Plan,2017
1286,Privatrechtliche Leistungsentgelte,20203,#NV,1.0,,,,,"-18.332,00",Plan,2017
1287,sonstige ordentliche Erträge,20203,#NV,1.0,,,,,"-1.561.420,00",Plan,2017
1288,Personalaufwendungen,20203,#NV,2.0,,,,,"594.079,48",Plan,2017
1289,Versorgungsaufwendungen,20203,#NV,2.0,,,,,"34.658,32",Plan,2017
1290,Aufwendungen für Sach- und Dienstleistungen,20203,#NV,2.0,,,,,"33.470,00",Plan,2017
1291,Transferaufwendungen,20203,#NV,2.0,,,,,100,Plan,2017
1292,sonstige ordentliche Aufwendungen,20203,#NV,2.0,,,,,"34.006,52",Plan,2017
1293,Bilanzielle Aufwendungen,20203,#NV,2.0,,,,,"6.026,89",Plan,2017
1294,öffentlich-rechtliche Leistungsentgelte,20204,#NV,1.0,,,,,"-225.000,00",Plan,2017
1295,Privatrechtliche Leistungsentgelte,20204,#NV,1.0,,,,,"-11.191,00",Plan,2017
1296,sonstige ordentliche Erträge,20204,#NV,1.0,,,,,-70,Plan,2017
1297,Personalaufwendungen,20204,#NV,2.0,,,,,"512.935,60",Plan,2017
1298,Versorgungsaufwendungen,20204,#NV,2.0,,,,,"48.563,80",Plan,2017
1299,Aufwendungen für Sach- und Dienstleistungen,20204,#NV,2.0,,,,,"11.418,00",Plan,2017
1300,sonstige ordentliche Aufwendungen,20204,#NV,2.0,,,,,"14.839,26",Plan,2017
1301,Bilanzielle Aufwendungen,20204,#NV,2.0,,,,,"598,42",Plan,2017
1302,Zuwendungen und allgemeine Umlagen,20205,#NV,1.0,,,,,0,Plan,2017
1303,öffentlich-rechtliche Leistungsentgelte,20205,#NV,1.0,,,,,"-165.076,00",Plan,2017
1304,Privatrechtliche Leistungsentgelte,20205,#NV,1.0,,,,,"-15.183,00",Plan,2017
1305,sonstige ordentliche Erträge,20205,#NV,1.0,,,,,"-3.020,00",Plan,2017
1306,Personalaufwendungen,20205,#NV,2.0,,,,,"595.173,92",Plan,2017
1307,Versorgungsaufwendungen,20205,#NV,2.0,,,,,"116.653,60",Plan,2017
1308,Aufwendungen für Sach- und Dienstleistungen,20205,#NV,2.0,,,,,"14.796,00",Plan,2017
1309,Transferaufwendungen,20205,#NV,2.0,,,,,"79.054,00",Plan,2017
1310,sonstige ordentliche Aufwendungen,20205,#NV,2.0,,,,,"28.994,55",Plan,2017
1311,Bilanzielle Aufwendungen,20205,#NV,2.0,,,,,"2.893,70",Plan,2017
1312,Zuwendungen und allgemeine Umlagen,20206,#NV,1.0,,,,,"-1.119,55",Plan,2017
1313,öffentlich-rechtliche Leistungsentgelte,20206,#NV,1.0,,,,,"-551.260,00",Plan,2017
1314,Privatrechtliche Leistungsentgelte,20206,#NV,1.0,,,,,"-6.111,00",Plan,2017
1315,sonstige ordentliche Erträge,20206,#NV,1.0,,,,,"-2.184,00",Plan,2017
1316,Personalaufwendungen,20206,#NV,2.0,,,,,"1.168.635,04",Plan,2017
1317,Versorgungsaufwendungen,20206,#NV,2.0,,,,,"35.568,92",Plan,2017
1318,Aufwendungen für Sach- und Dienstleistungen,20206,#NV,2.0,,,,,"41.626,00",Plan,2017
1319,Transferaufwendungen,20206,#NV,2.0,,,,,"258.064,00",Plan,2017
1320,sonstige ordentliche Aufwendungen,20206,#NV,2.0,,,,,"55.318,67",Plan,2017
1321,Bilanzielle Aufwendungen,20206,#NV,2.0,,,,,"14.537,49",Plan,2017
1322,Zuwendungen und allgemeine Umlagen,30101,#NV,1.0,,,,,0,Plan,2017
1323,öffentlich-rechtliche Leistungsentgelte,30101,#NV,1.0,,,,,0,Plan,2017
1324,Privatrechtliche Leistungsentgelte,30101,#NV,1.0,,,,,0,Plan,2017
1325,sonstige ordentliche Erträge,30101,#NV,1.0,,,,,0,Plan,2017
1326,Erträge aus internen Leistungsbeziehungen,30101,#NV,4.0,,,,,0,Plan,2017
1327,Personalaufwendungen,30101,#NV,2.0,,,,,0,Plan,2017
1328,Versorgungsaufwendungen,30101,#NV,2.0,,,,,0,Plan,2017
1329,Aufwendungen für Sach- und Dienstleistungen,30101,#NV,2.0,,,,,0,Plan,2017
1330,Transferaufwendungen,30101,#NV,2.0,,,,,0,Plan,2017
1331,sonstige ordentliche Aufwendungen,30101,#NV,2.0,,,,,0,Plan,2017
1332,Bilanzielle Aufwendungen,30101,#NV,2.0,,,,,0,Plan,2017
1333,Aufwendungen aus internen Leistungsbeziehungen,30101,#NV,5.0,,,,,0,Plan,2017
1334,Zuwendungen und allgemeine Umlagen,30102,#NV,1.0,,,,,0,Plan,2017
1335,öffentlich-rechtliche Leistungsentgelte,30102,#NV,1.0,,,,,0,Plan,2017
1336,Privatrechtliche Leistungsentgelte,30102,#NV,1.0,,,,,0,Plan,2017
1337,sonstige ordentliche Erträge,30102,#NV,1.0,,,,,0,Plan,2017
1338,Personalaufwendungen,30102,#NV,2.0,,,,,0,Plan,2017
1339,Versorgungsaufwendungen,30102,#NV,2.0,,,,,0,Plan,2017
1340,Aufwendungen für Sach- und Dienstleistungen,30102,#NV,2.0,,,,,0,Plan,2017
1341,Transferaufwendungen,30102,#NV,2.0,,,,,0,Plan,2017
1342,sonstige ordentliche Aufwendungen,30102,#NV,2.0,,,,,0,Plan,2017
1343,Bilanzielle Aufwendungen,30102,#NV,2.0,,,,,0,Plan,2017
1344,Aufwendungen aus internen Leistungsbeziehungen,30102,#NV,5.0,,,,,0,Plan,2017
1345,Zuwendungen und allgemeine Umlagen,30103,#NV,1.0,,,,,0,Plan,2017
1346,öffentlich-rechtliche Leistungsentgelte,30103,#NV,1.0,,,,,0,Plan,2017
1347,Privatrechtliche Leistungsentgelte,30103,#NV,1.0,,,,,0,Plan,2017
1348,sonstige ordentliche Erträge,30103,#NV,1.0,,,,,0,Plan,2017
1349,Personalaufwendungen,30103,#NV,2.0,,,,,0,Plan,2017
1350,Versorgungsaufwendungen,30103,#NV,2.0,,,,,0,Plan,2017
1351,Aufwendungen für Sach- und Dienstleistungen,30103,#NV,2.0,,,,,0,Plan,2017
1352,Transferaufwendungen,30103,#NV,2.0,,,,,0,Plan,2017
1353,sonstige ordentliche Aufwendungen,30103,#NV,2.0,,,,,0,Plan,2017
1354,Bilanzielle Aufwendungen,30103,#NV,2.0,,,,,0,Plan,2017
1355,Aufwendungen aus internen Leistungsbeziehungen,30103,#NV,5.0,,,,,0,Plan,2017
1356,Zuwendungen und allgemeine Umlagen,30104,#NV,1.0,,,,,0,Plan,2017
1357,öffentlich-rechtliche Leistungsentgelte,30104,#NV,1.0,,,,,0,Plan,2017
1358,Privatrechtliche Leistungsentgelte,30104,#NV,1.0,,,,,0,Plan,2017
1359,sonstige ordentliche Erträge,30104,#NV,1.0,,,,,0,Plan,2017
1360,Personalaufwendungen,30104,#NV,2.0,,,,,0,Plan,2017
1361,Versorgungsaufwendungen,30104,#NV,2.0,,,,,0,Plan,2017
1362,Aufwendungen für Sach- und Dienstleistungen,30104,#NV,2.0,,,,,0,Plan,2017
1363,Transferaufwendungen,30104,#NV,2.0,,,,,0,Plan,2017
1364,sonstige ordentliche Aufwendungen,30104,#NV,2.0,,,,,0,Plan,2017
1365,Bilanzielle Aufwendungen,30104,#NV,2.0,,,,,0,Plan,2017
1366,Aufwendungen aus internen Leistungsbeziehungen,30104,#NV,5.0,,,,,0,Plan,2017
1367,Zuwendungen und allgemeine Umlagen,30105,#NV,1.0,,,,,0,Plan,2017
1368,öffentlich-rechtliche Leistungsentgelte,30105,#NV,1.0,,,,,0,Plan,2017
1369,Privatrechtliche Leistungsentgelte,30105,#NV,1.0,,,,,0,Plan,2017
1370,sonstige ordentliche Erträge,30105,#NV,1.0,,,,,0,Plan,2017
1371,Erträge aus internen Leistungsbeziehungen,30105,#NV,4.0,,,,,0,Plan,2017
1372,Personalaufwendungen,30105,#NV,2.0,,,,,0,Plan,2017
1373,Versorgungsaufwendungen,30105,#NV,2.0,,,,,0,Plan,2017
1374,Aufwendungen für Sach- und Dienstleistungen,30105,#NV,2.0,,,,,0,Plan,2017
1375,Transferaufwendungen,30105,#NV,2.0,,,,,0,Plan,2017
1376,sonstige ordentliche Aufwendungen,30105,#NV,2.0,,,,,0,Plan,2017
1377,Bilanzielle Aufwendungen,30105,#NV,2.0,,,,,0,Plan,2017
1378,Aufwendungen aus internen Leistungsbeziehungen,30105,#NV,5.0,,,,,0,Plan,2017
1379,Zuwendungen und allgemeine Umlagen,30106,#NV,1.0,,,,,0,Plan,2017
1380,öffentlich-rechtliche Leistungsentgelte,30106,#NV,1.0,,,,,0,Plan,2017
1381,Privatrechtliche Leistungsentgelte,30106,#NV,1.0,,,,,0,Plan,2017
1382,sonstige ordentliche Erträge,30106,#NV,1.0,,,,,0,Plan,2017
1383,Personalaufwendungen,30106,#NV,2.0,,,,,0,Plan,2017
1384,Versorgungsaufwendungen,30106,#NV,2.0,,,,,0,Plan,2017
1385,Aufwendungen für Sach- und Dienstleistungen,30106,#NV,2.0,,,,,0,Plan,2017
1386,Transferaufwendungen,30106,#NV,2.0,,,,,0,Plan,2017
1387,sonstige ordentliche Aufwendungen,30106,#NV,2.0,,,,,0,Plan,2017
1388,Bilanzielle Aufwendungen,30106,#NV,2.0,,,,,0,Plan,2017
1389,Aufwendungen aus internen Leistungsbeziehungen,30106,#NV,5.0,,,,,0,Plan,2017
1390,Zuwendungen und allgemeine Umlagen,30107,#NV,1.0,,,,,0,Plan,2017
1391,öffentlich-rechtliche Leistungsentgelte,30107,#NV,1.0,,,,,0,Plan,2017
1392,Privatrechtliche Leistungsentgelte,30107,#NV,1.0,,,,,0,Plan,2017
1393,sonstige ordentliche Erträge,30107,#NV,1.0,,,,,0,Plan,2017
1394,Personalaufwendungen,30107,#NV,2.0,,,,,0,Plan,2017
1395,Versorgungsaufwendungen,30107,#NV,2.0,,,,,0,Plan,2017
1396,Aufwendungen für Sach- und Dienstleistungen,30107,#NV,2.0,,,,,0,Plan,2017
1397,Transferaufwendungen,30107,#NV,2.0,,,,,0,Plan,2017
1398,sonstige ordentliche Aufwendungen,30107,#NV,2.0,,,,,0,Plan,2017
1399,Bilanzielle Aufwendungen,30107,#NV,2.0,,,,,0,Plan,2017
1400,Aufwendungen aus internen Leistungsbeziehungen,30107,#NV,5.0,,,,,0,Plan,2017
1401,Zuwendungen und allgemeine Umlagen,30108,#NV,1.0,,,,,0,Plan,2017
1402,öffentlich-rechtliche Leistungsentgelte,30108,#NV,1.0,,,,,0,Plan,2017
1403,Privatrechtliche Leistungsentgelte,30108,#NV,1.0,,,,,0,Plan,2017
1404,sonstige ordentliche Erträge,30108,#NV,1.0,,,,,0,Plan,2017
1405,Personalaufwendungen,30108,#NV,2.0,,,,,0,Plan,2017
1406,Versorgungsaufwendungen,30108,#NV,2.0,,,,,0,Plan,2017
1407,Aufwendungen für Sach- und Dienstleistungen,30108,#NV,2.0,,,,,0,Plan,2017
1408,Transferaufwendungen,30108,#NV,2.0,,,,,0,Plan,2017
1409,sonstige ordentliche Aufwendungen,30108,#NV,2.0,,,,,0,Plan,2017
1410,Bilanzielle Aufwendungen,30108,#NV,2.0,,,,,0,Plan,2017
1411,Aufwendungen aus internen Leistungsbeziehungen,30108,#NV,5.0,,,,,0,Plan,2017
1412,Zuwendungen und allgemeine Umlagen,30109,#NV,1.0,,,,,0,Plan,2017
1413,öffentlich-rechtliche Leistungsentgelte,30109,#NV,1.0,,,,,0,Plan,2017
1414,Privatrechtliche Leistungsentgelte,30109,#NV,1.0,,,,,0,Plan,2017
1415,sonstige ordentliche Erträge,30109,#NV,1.0,,,,,0,Plan,2017
1416,Personalaufwendungen,30109,#NV,2.0,,,,,0,Plan,2017
1417,Versorgungsaufwendungen,30109,#NV,2.0,,,,,0,Plan,2017
1418,Aufwendungen für Sach- und Dienstleistungen,30109,#NV,2.0,,,,,0,Plan,2017
1419,Transferaufwendungen,30109,#NV,2.0,,,,,0,Plan,2017
1420,sonstige ordentliche Aufwendungen,30109,#NV,2.0,,,,,0,Plan,2017
1421,Bilanzielle Aufwendungen,30109,#NV,2.0,,,,,0,Plan,2017
1422,Aufwendungen aus internen Leistungsbeziehungen,30109,#NV,5.0,,,,,0,Plan,2017
1423,Zuwendungen und allgemeine Umlagen,30110,#NV,1.0,,,,,0,Plan,2017
1424,öffentlich-rechtliche Leistungsentgelte,30110,#NV,1.0,,,,,0,Plan,2017
1425,Privatrechtliche Leistungsentgelte,30110,#NV,1.0,,,,,0,Plan,2017
1426,sonstige ordentliche Erträge,30110,#NV,1.0,,,,,0,Plan,2017
1427,Personalaufwendungen,30110,#NV,2.0,,,,,0,Plan,2017
1428,Versorgungsaufwendungen,30110,#NV,2.0,,,,,0,Plan,2017
1429,Aufwendungen für Sach- und Dienstleistungen,30110,#NV,2.0,,,,,0,Plan,2017
1430,Transferaufwendungen,30110,#NV,2.0,,,,,0,Plan,2017
1431,sonstige ordentliche Aufwendungen,30110,#NV,2.0,,,,,0,Plan,2017
1432,Bilanzielle Aufwendungen,30110,#NV,2.0,,,,,0,Plan,2017
1433,Aufwendungen aus internen Leistungsbeziehungen,30110,#NV,5.0,,,,,0,Plan,2017
1434,Zuwendungen und allgemeine Umlagen,30111,#NV,1.0,,,,,0,Plan,2017
1435,öffentlich-rechtliche Leistungsentgelte,30111,#NV,1.0,,,,,0,Plan,2017
1436,Privatrechtliche Leistungsentgelte,30111,#NV,1.0,,,,,0,Plan,2017
1437,sonstige ordentliche Erträge,30111,#NV,1.0,,,,,0,Plan,2017
1438,Personalaufwendungen,30111,#NV,2.0,,,,,0,Plan,2017
1439,Versorgungsaufwendungen,30111,#NV,2.0,,,,,0,Plan,2017
1440,Aufwendungen für Sach- und Dienstleistungen,30111,#NV,2.0,,,,,0,Plan,2017
1441,Transferaufwendungen,30111,#NV,2.0,,,,,0,Plan,2017
1442,sonstige ordentliche Aufwendungen,30111,#NV,2.0,,,,,0,Plan,2017
1443,Bilanzielle Aufwendungen,30111,#NV,2.0,,,,,0,Plan,2017
1444,Aufwendungen aus internen Leistungsbeziehungen,30111,#NV,5.0,,,,,0,Plan,2017
1445,Zuwendungen und allgemeine Umlagen,30112,#NV,1.0,,,,,0,Plan,2017
